SetInfo,songName
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Prep School Hippie"
"SET 1","Run Like an Antelope"
"SET 2",Tonight
"SET 2","The Pendulum"
"SET 2","Babylon is Burning"
"SET 2","Dec 1661"
"SET 1","Quinn the Eskimo"
"SET 1","Have Mercy"
"SET 1","Harry Hood"
"SET 1","The Pendulum"
"SET 1","Dave's Energy Guide"
"SET 1",Icculus
"SET 1","You Enjoy Myself"
"SET 2","Help on the Way"
"SET 2",Slipknot!
"SET 2","AC/DC Bag"
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 2","Dear Mrs. Reagan"
ENCORE,"Not Fade Away"
"SET 1","AC/DC Bag"
"SET 1","Dear Mrs. Reagan"
"SET 1","Prep School Hippie"
"SET 1","Quinn the Eskimo"
"SET 1","Slave to the Traffic Light"
"SET 1","Makisupa Policeman"
"SET 1","Have Mercy"
"SET 1","All Blues"
"SET 1","Dog Log"
"SET 1",Possum
"SET 1","You Enjoy Myself"
"SET 1",Anarchy
"SET 1","Camel Walk"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Halley's Comet"
"SET 1","Back Porch Boogie Blues"
"SET 1","Halley's Comet"
"SET 1","Dog Log"
"SET 1","Halley's Comet"
"SET 1","Back Porch Boogie Blues"
"SET 1","Halley's Comet"
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1",Wilson
"SET 1","Halley's Comet"
"SET 1",Possum
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Makisupa Policeman"
"SET 1","Alumni Blues"
"SET 1","Makisupa Policeman"
"SET 1","Skin It Back"
"SET 1",Cities
"SET 1","I Am Hydrogen"
"SET 1","McGrupp and the Watchful Hosemasters"
"SET 1","AC/DC Bag"
"SET 1","You Enjoy Myself"
"SET 1",Lushington
"SET 2","Peaches en Regalia"
"SET 2","Golgi Apparatus"
"SET 2","Swing Low, Sweet Chariot"
"SET 2","Camel Walk"
"SET 2","Shaggy Dog"
"SET 2","Mustang Sally"
"SET 2",Fluffhead
"SET 2","Sneakin' Sally Through the Alley"
"SET 2",Wilson
"SET 2","Slave to the Traffic Light"
"SET 2","Quinn the Eskimo"
"SET 2","Mike's Song"
"SET 2","Have Mercy"
"SET 2","Harry Hood"
"SET 3","Roll Like a Cantaloupe"
"SET 3",Sanity
"SET 3",Anarchy
ENCORE,Clod
"SET 1","Mustang Sally"
"SET 1","Camel Walk"
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1","Melt the Guns"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Halley's Comet"
"SET 1","Back Porch Boogie Blues"
"SET 1","Shaggy Dog"
"SET 1",Fluffhead
"SET 2",Jam
"SET 2","AC/DC Bag"
"SET 2","Swing Low, Sweet Chariot"
"SET 2","Peaches en Regalia"
"SET 2","David Bowie"
"SET 2","Have Mercy"
"SET 2","Harry Hood"
"SET 2",Sanity
"SET 2","Skin It Back"
"SET 2",Icculus
"SET 2","Alumni Blues"
"SET 1","Funky Bitch"
"SET 1",Possum
"SET 1","Peaches en Regalia"
"SET 1","Makisupa Policeman"
"SET 1",Fluffhead
"SET 2","I Know a Little"
"SET 2","Golgi Apparatus"
"SET 2","Slave to the Traffic Light"
"SET 2","Shaggy Dog"
"SET 2","Light Up Or Leave Me Alone"
"SET 2","Camel Walk"
"SET 2",Jam
"SET 2","Swing Low, Sweet Chariot"
"SET 2","Back Porch Boogie Blues"
"SET 2",Icculus
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2","Good Times Bad Times"
"SET 2","Skin It Back"
"SET 2",Cities
"SET 3","Mike's Song"
"SET 3","The Little Drummer Boy"
"SET 3","Whipping Post"
"SET 3","She Caught the Katy and Left Me a Mule to Ride"
"SET 3","AC/DC Bag"
"SET 3","David Bowie"
"SET 3",Clod
"SET 3","David Bowie"
"SET 3","You Enjoy Myself"
"SET 3","Dog Log"
"SET 3",Tush
"SET 3","Sneakin' Sally Through the Alley"
"SET 3","Prep School Hippie"
"SET 1",Wilson
"SET 2","I Am Hydrogen"
"SET 2","Peaches en Regalia"
"SET 2","Swing Low, Sweet Chariot"
"SET 2","Sneakin' Sally Through the Alley"
"SET 2","Makisupa Policeman"
"SET 2","Skin It Back"
"SET 2",Cities
"SET 2",Fluffhead
"SET 1","Sneakin' Sally Through the Alley"
"SET 1",Possum
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1","Quinn the Eskimo"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Suzy Greenberg"
"SET 1",Sanity
"SET 1","Good Times Bad Times"
"SET 2",Wilson
"SET 2","Melt the Guns"
"SET 2","Dave's Energy Guide"
"SET 2",Fluffhead
"SET 2","Harry Hood"
"SET 1","Why Don't You Love Me?"
"SET 2",Fluffhead
"SET 2",Fire
"SET 2","Suzy Greenberg"
"SET 2","Dear Mrs. Reagan"
"SET 2","Camel Walk"
"SET 2","Back Porch Boogie Blues"
"SET 2","Blue Monk"
"SET 2",Clod
"SET 2",Lushington
"SET 2","Peaches en Regalia"
"SET 2","Swing Low, Sweet Chariot"
"SET 2","Boogie On Reggae Woman"
"SET 2","Ya Mar"
"SET 2",Corinna
"SET 2","Dog Log"
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 1","Funky Bitch"
"SET 1","Good Times Bad Times"
"SET 1",Corinna
"SET 1","Golgi Apparatus"
"SET 1","Quinn the Eskimo"
"SET 1","Sneakin' Sally Through the Alley"
"SET 2","Free Bird"
"SET 2","Happy Birthday to You"
"SET 2","Harry Hood"
"SET 2","Tell Me Something Good"
"SET 2",Possum
"SET 2",Freeworld
"SET 2",Wilson
ENCORE,"Slave to the Traffic Light"
"SET 1","Funky Bitch"
"SET 1","Mike's Song"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","You Enjoy Myself"
"SET 1",Sparks
"SET 2",Fluffhead
"SET 2","Peaches en Regalia"
"SET 2","Ride Captain Ride"
"SET 2","Dave's Energy Guide"
"SET 2",Corinna
"SET 2","Why Don't You Love Me?"
"SET 2","Camel Walk"
"SET 2","Golgi Apparatus"
"SET 2","Swing Low, Sweet Chariot"
"SET 1","Golgi Apparatus"
"SET 1","AC/DC Bag"
"SET 1",Possum
"SET 1",Fluffhead
"SET 1","You Enjoy Myself"
"SET 1","Dave's Energy Guide"
"SET 1","Punch Me in the Eye"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","I Am Hydrogen"
"SET 1","Who Do? We Do!"
"SET 1","David Bowie"
"SET 1","Dear Mrs. Reagan"
"SET 1","Slave to the Traffic Light"
"SET 1","She Caught the Katy and Left Me a Mule to Ride"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Golgi Apparatus"
"SET 1","Swing Low, Sweet Chariot"
"SET 1",Fire
"SET 1","Skin It Back"
"SET 1",Cities
"SET 1",Lushington
"SET 2","Dog Log"
"SET 2","Melt the Guns"
"SET 2","Dave's Energy Guide"
"SET 2","Take the 'A' Train"
"SET 2","Halley's Comet"
"SET 2","Quinn the Eskimo"
"SET 2","AC/DC Bag"
"SET 3","Peaches en Regalia"
"SET 3",Fluffhead
"SET 3","Good Times Bad Times"
"SET 3",Anarchy
"SET 3","Makisupa Policeman"
"SET 3","Run Like an Antelope"
"SET 3","Boogie On Reggae Woman"
"SET 3","Timber (Jerry The Mule)"
"SET 3","Slave to the Traffic Light"
"SET 3",Sparks
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3","The Ballad of Curtis Loew"
"SET 3","Come On (Part One)"
"SET 3","I Am Hydrogen"
"SET 3","Who Do? We Do!"
ENCORE,"Fuck Your Face"
"SET 1","You Enjoy Myself"
"SET 1",Lushington
"SET 1",Possum
"SET 1","Slave to the Traffic Light"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1",Clod
"SET 1","Peaches en Regalia"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Avenu Malkenu"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Makisupa Policeman"
"SET 1","Ya Mar"
"SET 2","Divided Sky"
"SET 2","Funky Bitch"
"SET 2",Harpua
"SET 2","Bundle of Joy"
"SET 2",Harpua
"SET 2",Fluffhead
"SET 2","Good Times Bad Times"
ENCORE,"Golgi Apparatus"
ENCORE,Corinna
ENCORE,"Letter to Jimmy Page"
"SET 1",Wilson
"SET 1","Run Like an Antelope"
"SET 1","Golgi Apparatus"
"SET 1","Back Porch Boogie Blues"
"SET 1",Lushington
"SET 1",Possum
"SET 1","Harry Hood"
"SET 1","You Enjoy Myself"
"SET 1","Alumni Blues"
"SET 2",Fire
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1","La Grange"
"SET 1",Lushington
"SET 1",Possum
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Timber (Jerry The Mule)"
"SET 1","Good Times Bad Times"
"SET 1","AC/DC Bag"
"SET 1","Shaggy Dog"
"SET 1","Funky Bitch"
"SET 2","The Curtain With"
"SET 2","Halley's Comet"
"SET 2","The Sloth"
"SET 2","Light Up Or Leave Me Alone"
"SET 2","Skin It Back"
"SET 2","Peaches en Regalia"
"SET 2",Fluffhead
"SET 2",Fee
"SET 2","Harry Hood"
"SET 2",Harpua
"SET 2","Suzy Greenberg"
"SET 3","David Bowie"
"SET 3","You Enjoy Myself"
"SET 3","Ya Mar"
"SET 3","Divided Sky"
"SET 3","Flat Fee"
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3",Corinna
"SET 1","Peaches en Regalia"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Golgi Apparatus"
"SET 1",Wilson
"SET 1","Quinn the Eskimo"
"SET 1","Divided Sky"
"SET 1","Good Times Bad Times"
"SET 2",Fire
"SET 2","AC/DC Bag"
"SET 2",Possum
"SET 2",Fluffhead
"SET 2",Fee
"SET 2","The Curtain With"
"SET 2","I Know a Little"
"SET 2","Mustang Sally"
"SET 2","You Enjoy Myself"
"SET 2","La Grange"
"SET 3",Icculus
"SET 3","David Bowie"
"SET 3","Jesus Just Left Chicago"
"SET 3","Whipping Post"
"SET 3",Anarchy
"SET 3",Tush
"SET 3","Dear Mrs. Reagan"
"SET 1","Dog Log"
"SET 1","Peaches en Regalia"
"SET 1","Divided Sky"
"SET 1","Funky Bitch"
"SET 1","Harry Hood"
"SET 1",Clod
"SET 1","The Curtain With"
"SET 1","Light Up Or Leave Me Alone"
"SET 1","Shaggy Dog"
"SET 1",Wilson
"SET 1","Camel Walk"
"SET 2","Mike's Song"
"SET 2","Hold Your Head Up"
"SET 2",Harpua
"SET 2","Bundle of Joy"
"SET 2",Harpua
"SET 2","Golgi Apparatus"
"SET 2",Sparks
"SET 2","Flat Fee"
"SET 2",Fee
"SET 2","Skin It Back"
"SET 2","Low Rider Jam"
"SET 2","Back Porch Boogie Blues"
"SET 2","The Sloth"
"SET 3","Big Black Furry Creature from Mars"
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3","Stir It Up Jam"
"SET 3","Makisupa Policeman Jam"
"SET 3","David Bowie"
"SET 3",Sanity
"SET 3","Swing Low, Sweet Chariot"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","The Ballad of Curtis Loew"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Makisupa Policeman"
"SET 1","Big Black Furry Creature from Mars"
"SET 1","Flat Fee"
"SET 1",Lushington
"SET 1","Suzy Greenberg"
"SET 1","Hold Your Head Up"
"SET 1","Suzy Greenberg"
"SET 1","Mustang Sally"
"SET 1","Ya Mar"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Avenu Malkenu"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 2",Clod
"SET 2","Slave to the Traffic Light"
"SET 2","Swing Low, Sweet Chariot"
"SET 2","The Curtain With"
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2",Possum
"SET 2","Harry Hood"
"SET 2","Timber (Jerry The Mule)"
"SET 2","AC/DC Bag"
"SET 2","Divided Sky"
"SET 2",Harpua
"SET 2","Bundle of Joy"
"SET 2",Harpua
"SET 3","La Grange"
"SET 3",Corinna
"SET 3","Mike's Song"
"SET 3","I Am Hydrogen"
"SET 3","Who Do? We Do!"
"SET 3","Shaggy Dog"
"SET 3","David Bowie"
"SET 3","Jesus Just Left Chicago"
ENCORE,"She Caught the Katy and Left Me a Mule to Ride"
"SET 1","AC/DC Bag"
"SET 1",Fluffhead
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Divided Sky"
"SET 1",Wilson
"SET 1","David Bowie"
"SET 1",Lushington
"SET 1",Possum
"SET 1","Big Black Furry Creature from Mars"
"SET 1","Makisupa Policeman"
"SET 1","Timber (Jerry The Mule)"
"SET 1","Shaggy Dog"
"SET 1","You Enjoy Myself"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Avenu Malkenu"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1",Clod
"SET 1","Slave to the Traffic Light"
"SET 1","Funky Bitch"
"SET 1",Wilson
"SET 1","Dear Mrs. Reagan"
"SET 1","Golgi Apparatus"
"SET 1","AC/DC Bag"
"SET 1",Possum
"SET 2","You Enjoy Myself"
"SET 2","The Curtain With"
"SET 2","Big Black Furry Creature from Mars"
"SET 2","Suzy Greenberg"
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 3","Happy Birthday to You"
"SET 3","Good Times Bad Times"
"SET 3","Rocky Top"
"SET 3","Sneakin' Sally Through the Alley"
"SET 3",Fee
"SET 3","Divided Sky"
"SET 3","Dog Log"
"SET 3","The Ballad of Curtis Loew"
"SET 3","Run Like an Antelope"
"SET 3","Makisupa Policeman"
"SET 3","Flat Fee"
"SET 3",Fire
"SET 3",Terrapin
"SET 3","La Grange"
"SET 3",Fluffhead
"SET 2","Prep School Hippie"
"SET 2","Divided Sky"
"SET 1","Peaches en Regalia"
"SET 1","Take the 'A' Train"
"SET 1","You Enjoy Myself"
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1","The Chase"
"SET 1",Fluffhead
"SET 1","Dave's Energy Guide"
"SET 1",Possum
"SET 2","David Bowie"
"SET 2","AC/DC Bag"
"SET 2","Divided Sky"
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2",Clod
"SET 2","Makisupa Policeman"
"SET 1",Jam
"SET 1","Whipping Post"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Back Porch Boogie Blues"
"SET 1","Halley's Comet"
"SET 1","Light Up Or Leave Me Alone"
"SET 1","Love You"
"SET 1","AC/DC Bag"
"SET 1",Possum
"SET 1","You Enjoy Myself"
"SET 1","Big Black Furry Creature from Mars"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Avenu Malkenu"
"SET 2","The Man Who Stepped Into Yesterday"
"SET 2","Peaches en Regalia"
"SET 2","Take the 'A' Train"
"SET 2","Timber (Jerry The Mule)"
"SET 2","The Chase"
"SET 2","I Am Hydrogen"
"SET 2","Who Do? We Do!"
"SET 2",Fee
"SET 2","Divided Sky"
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2","Who Do? We Do!"
"SET 2",Clod
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 2",Fluffhead
"SET 2","David Bowie"
"SET 1","Slave to the Traffic Light"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Avenu Malkenu"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Flat Fee"
"SET 1",Wilson
"SET 1","Peaches en Regalia"
"SET 1","Take the 'A' Train"
"SET 1","Golgi Apparatus"
"SET 1","Divided Sky"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Good Times Bad Times"
"SET 2","I Didn't Know"
"SET 2","You Enjoy Myself"
"SET 2",Fluffhead
"SET 2","AC/DC Bag"
"SET 1","McGrupp and the Watchful Hosemasters"
"SET 1",Sparks
"SET 1","Funky Bitch"
"SET 1","You Enjoy Myself"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Harry Hood"
"SET 1",Fire
"SET 2","Timber (Jerry The Mule)"
"SET 2",Fluffhead
"SET 2","I Didn't Know"
"SET 2",Fee
"SET 2",Corinna
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 3",Jam
"SET 3","Suzy Greenberg"
"SET 3",Possum
"SET 3","Divided Sky"
"SET 3","Big Black Furry Creature from Mars"
"SET 3","Dinner and a Movie"
"SET 3","The Ballad of Curtis Loew"
"SET 3","Whipping Post"
"SET 3",Harpua
"SET 3","Take the 'A' Train"
"SET 3","Camel Walk"
"SET 3","La Grange"
"SET 3",Bike
"SET 3","Slave to the Traffic Light"
"SET 1","Funky Bitch"
"SET 1","Mustang Sally"
"SET 1","AC/DC Bag"
"SET 1",Possum
"SET 1","Jesus Just Left Chicago"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Take the 'A' Train"
"SET 1","Good Times Bad Times"
"SET 2",Wilson
"SET 2","Slave to the Traffic Light"
"SET 2",Corinna
"SET 2",Fire
"SET 2",Fluffhead
"SET 2","Divided Sky"
"SET 2","The Ballad of Curtis Loew"
"SET 2","You Enjoy Myself"
"SET 2","The Sloth"
"SET 2","Whipping Post"
"SET 3",Fee
"SET 3","The Lizards"
"SET 3","Suzy Greenberg"
"SET 3","Golgi Apparatus"
"SET 3",Bike
"SET 3","Big Black Furry Creature from Mars"
"SET 3","Camel Walk"
"SET 3","Harry Hood"
"SET 1","David Bowie"
"SET 2","Sympathy for the Devil"
"SET 2",Fee
"SET 2","Run Like an Antelope"
"SET 2","AC/DC Bag"
"SET 2",Possum
"SET 1",Fire
"SET 1","McGrupp and the Watchful Hosemasters"
"SET 1","Shaggy Dog"
"SET 1","Golgi Apparatus"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Peaches en Regalia"
"SET 1","Phase Dance"
"SET 1","Dear Mrs. Reagan"
"SET 1","I Didn't Know"
"SET 1","David Bowie"
"SET 2","Happy Birthday to You"
"SET 2","AC/DC Bag"
"SET 2","Timber (Jerry The Mule)"
"SET 2","Flat Fee"
"SET 2",Fee
"SET 2",Possum
"SET 2","The Lizards"
"SET 2","Fly Famous Mockingbird"
"SET 2","Whipping Post"
"SET 3","Suzy Greenberg"
"SET 3","The Man Who Stepped Into Yesterday"
"SET 3","Avenu Malkenu"
"SET 3","The Man Who Stepped Into Yesterday"
"SET 3",Clod
"SET 3","Bundle of Joy"
"SET 3","The Curtain With"
"SET 3","The Ballad of Curtis Loew"
"SET 3","Good Times Bad Times"
"SET 1","Slave to the Traffic Light"
"SET 1","Funky Bitch"
"SET 1","Take the 'A' Train"
"SET 1","Golgi Apparatus"
"SET 1","Phase Dance"
"SET 1",Fire
"SET 1","You Enjoy Myself"
"SET 2",Fluffhead
"SET 2",Wilson
"SET 2","Peaches en Regalia"
"SET 2","Divided Sky"
"SET 2","The Lizards"
"SET 2","Run Like an Antelope"
"SET 3","The Sloth"
"SET 3","Flat Fee"
"SET 3","Dinner and a Movie"
"SET 3","Alumni Blues"
"SET 3","Letter to Jimmy Page"
"SET 3","Alumni Blues"
"SET 3","Harry Hood"
"SET 3",Bike
"SET 3",Fee
"SET 3","Jesus Just Left Chicago"
"SET 3","Big Black Furry Creature from Mars"
"SET 1","Funky Bitch"
"SET 1","Golgi Apparatus"
"SET 1","Peaches en Regalia"
"SET 1","Take the 'A' Train"
"SET 1",Possum
"SET 1","Phase Dance"
"SET 1","Good Times Bad Times"
"SET 1","Skin It Back"
"SET 1","David Bowie"
"SET 2",Wilson
"SET 2","I Didn't Know"
"SET 2",Fluffhead
"SET 2",Fire
"SET 2",Fee
"SET 2","You Enjoy Myself"
"SET 2","Divided Sky"
"SET 2","AC/DC Bag"
"SET 2","Whipping Post"
"SET 2","Slave to the Traffic Light"
ENCORE,"Big Black Furry Creature from Mars"
"SET 1","Funky Bitch"
"SET 1",Fluffhead
"SET 1","The Curtain"
"SET 1","You Enjoy Myself"
"SET 1","I Didn't Know"
"SET 1","The Lizards"
"SET 1",Wilson
"SET 1","Peaches en Regalia"
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1",Corinna
"SET 1",Fee
"SET 1","David Bowie"
"SET 2","Mustang Sally"
"SET 2","Sneakin' Sally Through the Alley"
"SET 2",Sanity
"SET 2","La Grange"
"SET 2","Harry Hood"
"SET 1","The Curtain"
"SET 1","Suzy Greenberg"
"SET 1","You Enjoy Myself"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","Avenu Malkenu"
"SET 1","The Man Who Stepped Into Yesterday"
"SET 1","AC/DC Bag"
"SET 1",Possum
"SET 1","Phase Dance"
"SET 1","Good Times Bad Times"
"SET 2",Fluffhead
"SET 2","I Didn't Know"
"SET 2","Golgi Apparatus"
"SET 2","The Lizards"
"SET 2","David Bowie"
"SET 2","The Ballad of Curtis Loew"
"SET 2",Fee
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2","Dear Mrs. Reagan"
"SET 2","Makisupa Policeman"
"SET 2","Alumni Blues"
"SET 2","Letter to Jimmy Page"
"SET 2","Alumni Blues"
"SET 2","Whipping Post"
"SET 1","The Chicken"
"SET 1","Funky Bitch"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Take the 'A' Train"
"SET 1","You Enjoy Myself"
"SET 1",Wilson
"SET 1","Golgi Apparatus"
"SET 1","Slave to the Traffic Light"
"SET 1","Flat Fee"
"SET 1",Corinna
"SET 1","The Lizards"
"SET 1","David Bowie"
"SET 2",Fluffhead
"SET 2","Dinner and a Movie"
"SET 2","Harry Hood"
"SET 2","The Ballad of Curtis Loew"
"SET 2",Harpua
"SET 2","AC/DC Bag"
"SET 2","Alumni Blues"
